역번호,역사명,노선번호,노선명,영문역사명,한자역사명,환승역구분,환승노선번호,환승노선명,역위도,역경도,운영기관명,역사도로명주소,역사전화번호,데이터기준일자
0104,대전,S3001,대전 도시철도 1호선,Daejeon,大田,일반역,,,36.331583,127.433118,대전교통공사,대전광역시 동구 중앙로 지하 218 (중동),042-539-3604,2022-05-09
0347,대청,I1103,3호선,Daecheong,-,일반역,,,37.493607,127.079526,서울교통공사,서울특별시 강남구 일원로 지하2(일원동),02-6110-3471,2024-12-31
0345,대치,I1103,3호선,Daechi,大峙,일반역,,,37.494601,127.063449,서울교통공사,서울특별시 강남구 남부순환로 지하2952(대치동),02-6110-3451,2024-12-31
0106,대티,S2601,부산 도시철도 1호선,Daeti,大峙,일반역,,,35.10306,128.99972,부산광역시 부산교통공사,부산광역시 사하구 낙동대로 지하 141,051-678-6106,2022-11-30
1958,대화역,I4106,일산선,Daehwa,大 化,일반역,,,37.675883,126.747756,한국철도공사,경기도 고양시 일산서구 중앙로 1569(대화동 2221),1588-7788,2025-04-08
0625,대흥(서강대앞),S1106,6호선,Daeheung (Sogang Univ.),大興(西江大앞),일반역,,,37.547732,126.942214,서울교통공사,서울특별시 마포구 대흥로 지하85(대흥동),02-6311-6251,2024-12-31
1910,덕계역,I4102,경원선,Deokgye,德溪,일반역,,,37.818761,127.056676,한국철도공사,경기도 양주시 고덕로 139번길 317,1588-7788,2025-04-08
0005,덕두,L48B1,부산김해경전철,Deokdu,德斗,일반역,,,35.182001,128.954198,부산-김해경전철㈜,부산광역시 강서구 경전철로 10,055-310-9605,2022-04-27
1208,덕소역,I4108,경의중앙선,Deokso,德 沼,일반역,,,37.586892,127.208835,한국철도공사,경기도 남양주시 와부읍 덕서로 56(덕소리 590-17),1588-7788,2025-04-08
1911,덕정역,I4102,경원선,Deokjeong,德亭,일반역,,,37.843216,127.061511,한국철도공사,경기도 양주시 화합로 1356,1588-7788,2025-04-08
0233,덕천,S2602,부산 도시철도 2호선,Deokcheon,德川,환승역,S2602+S2603,부산 도시철도 2호선+부산 도시철도 3호선,35.21011,129.00533,부산광역시 부산교통공사,부산광역시 북구 금곡대로 지하 14,051-678-6233,2022-11-30
0313,덕천,S2603,부산 도시철도 3호선,Deokcheon,德川,환승역,S2602+S2603,부산 도시철도 2호선+부산 도시철도 3호선,35.210139,129.005545,부산광역시 부산교통공사,부산광역시 북구 덕천동 327번지,051-678-6313,2022-11-30
0228,덕포,S2602,부산 도시철도 2호선,Deokpo,德浦,일반역,,,35.17378,128.98394,부산광역시 부산교통공사,부산광역시 사상구 사상로 지하 320-1,051-678-6228,2022-11-30
8021,덕하역,I26K6,동해선,Deokha,德下,일반역,,,35.494007,129.303094,한국철도공사,울산시 울주군 청량읍 상남리 533-15,1588-7788,2025-04-08
0344,도곡,I1103,3호선,Dogok,道谷,환승역,I41K1,수도권  광역철도 분당,37.491129,127.055694,서울교통공사,서울특별시 강남구 남부순환로 지하2814(도곡동),02-6110-3441,2024-12-31
1025,도곡역,I4105,분당선,Dogok,道 谷,환승역,I1103,수도권 광역철도 3호선,37.490914,127.055393,한국철도공사,서울시 강남구 남부순환로 지하 2814,1588-7788,2025-04-08
1206,도농역,I4108,경의중앙선,Donong,陶 農,일반역,,,37.608756,127.161105,한국철도공사,경기도 남양주시 경춘로 433(도농동 56-1),1588-7788,2025-04-08
2341,도림천,S1122,2호선,Dorimcheon,道林川,일반역,,,37.5145589,126.882586,서울교통공사,서울특별시 구로구 경인로67길 160(신도림동),02-6110-2441,2024-12-31
1902,도봉역,I4102,경원선,Dobong,道 峰,일반역,,,37.679441,127.045521,한국철도공사,서울시 도봉구 도봉로 170길 2,1588-7788,2025-04-08
1903,도봉산역,I4102,경원선,Dobongsan,道峰山,환승역,S1107,수도권 도시철도 7호선,37.689603,127.046047,한국철도공사,서울시 도봉구 도봉로 964-33,1588-7788,2025-04-08
0710,도봉산,S1107,7호선,Dobongsan,道峰山,환승역,I4101,수도권  광역철도 1호선,37.689131,127.046548,서울교통공사,서울특별시 도봉구 도봉로 964-40(도봉동),02-6311-7101,2024-12-31
118,도산,S2901,광주도시철도 1호선,Dosan,道山,일반역,,,35.131713,126.787942,광주교통공사,광주광역시 광산구 상무대로 지하 125-99(도산동),062-604-8580,2022-09-02
1209,도심역,I4108,경의중앙선,Dosim,陶 深,일반역,,,37.579628,127.222798,한국철도공사,경기도 남양주시 와부읍 덕소로 237(도곡리 1024-2),1588-7788,2025-04-08
1817,도원역,I1101,경인선,Dowon,桃 源,일반역,,,37.468604,126.642824,한국철도공사,인천시 동구 참외전로 245,1588-7788,2025-04-08
1823,도화역,I1101,경인선,Dohwa,道 禾,일반역,,,37.466154,126.66846,한국철도공사,인천시 남구 숙골로 24번길 9,1588-7788,2025-04-08
0326,독립문,I1103,3호선,Dongnimmun,獨立門,일반역,,,37.574534,126.957902,서울교통공사,서울특별시 서대문구 통일로 지하247(현저동),02-6110-3261,2024-12-31
0613,독바위,S1106,6호선,Dokbawi,-,일반역,,,37.618413,126.933035,서울교통공사,서울특별시 은평구 불광로 지하129-1(불광동),02-6311-6131,2024-12-31
1714,독산역,I4101,경부선,Doksan,禿 山,일반역,,,37.465994,126.889508,한국철도공사,서울시 금천구 벚꽃로 115,1588-7788,2025-04-08
3206,독정,S2802,인천지하철 2호선,Dokjeong,篤亭,일반역,-,-,37.584927,126.675981,인천교통공사,인천광역시 서구 서곶로 760 (백석동),032-451-4306,2022-04-30
108,돌고개,S2901,광주도시철도 1호선,Dolgogae,石岭,일반역,,,35.152047,126.895637,광주교통공사,광주광역시 서구 경열로 지하 87(농성동),062-604-8480,2022-09-02
0643,돌곶이,S1106,6호선,Dolgoji,-,일반역,,,37.610522,127.056419,서울교통공사,서울특별시 성북구 화랑로 지하243(석관동),02-6311-6431,2024-12-31
806,동구릉,S1108,8호선,Donggureung,东九陵,일반역,,,37.610556,127.135056,구리도시공사,인창동 679-8 일원(구리도매시장),031-579-4087~8,20240812
0136,동구청(큰고개),S2701,대구 도시철도 1호선,"Dong-gu Office
(Keungogae)",東區廳,일반역,,,35.884485,128.632295,대구교통공사,동구 신암남로 지하169 (신암동),053-942-7721,2025-03-31
0135,동대구역,S2701,대구 도시철도 1호선,Dongdaegu Station,東大邱驛,일반역,,,35.877626,128.627152,대구교통공사,동구 동대구로 지하530 (신천동),053-742-7787,2025-03-31
7007,동대구역,I27K7,대경선,Dongdaegu,東大邱,환승역,S2701,대구도시철도 1호선,35.879376,128.628807,한국철도공사,대구 동구 동대구로 550,1588-7788,2025-04-08
0128,동대문,I4101,1호선,Dongdaemun,東大門,환승역,I1104,수도권  광역철도 4호선,37.571646,127.01069,서울교통공사,서울특별시 종로구 종로 지하302(창신동),02-6110-1281,2024-12-31
0421,동대문,I1104,4호선,Dongdaemun,東大門,환승역,I4101,수도권  광역철도 1호선,37.57099,127.00925,서울교통공사,서울특별시 종로구 율곡로 지하308(종로6가),02-6110-4211,2024-12-31
0205,동대문역사문화공원(DDP),S1102,2호선,Dongdaemun History & Culture Park,東大門歷史文化公園(DDP),환승역,I1104+S1105,수도권  광역철도 4호선+수도권  도시철도 5호선,37.565609,127.009083,서울교통공사,서울특별시 중구 을지로 지하279(을지로7가),02-6110-2051,2024-12-31
0422,동대문역사문화공원(DDP),I1104,4호선,Dongdaemun History & Culture Park,東大門歷史文化公園(DDP),환승역,S1102+S1105,수도권  도시철도 2호선+수도권  도시철도 5호선,37.565141,127.007808,서울교통공사,서울특별시 중구 장충단로 지하230(광희동2가),02-6110-4221,2024-12-31
0536,동대문역사문화공원(DDP),S1105,5호선,Dongdaemun History & Culture Park,東大門歷史文化公園(DDP),환승역,S1102+I1104,수도권  도시철도 2호선+수도권 광역철도 4호선,37.564682,127.00533,서울교통공사,서울특별시 중구 마른내로 지하162(광희동1가),02-6311-5361,2024-12-31
0108,동대신,S2601,부산 도시철도 1호선,Dongdaesin,東大新,일반역,,,35.11056,129.01757,부산광역시 부산교통공사,부산광역시 서구 구덕로 지하 290,051-678-6108,2022-11-30
0332,동대입구,I1103,3호선,Dongguk Univ.,東大入口,일반역,,,37.55906,127.005273,서울교통공사,서울특별시 중구 동호로 지하256(장충동2가),02-6110-3321,2024-12-31
1915,동두천역,I4102,경원선,Dongducheon,東豆川,일반역,,,37.927569,127.054825,한국철도공사,경기도 동두천시 평화로 2687(동두천동 245-210),1588-7788,2025-04-08
1913,동두천중앙역,I4102,경원선,Dongducheon jungang,東豆川中央,일반역,,,37.901818,127.056528,한국철도공사,경기도 동두천시 동두천로 228(생연동 682),1588-7788,2025-04-08
0125,동래,S2601,부산 도시철도 1호선,Dongnae,東萊,환승역,S2601+L2604,부산 도시철도 1호선+부산 경량도시철도 4호선,35.20556,129.078461,부산광역시 부산교통공사,부산광역시 동래구 중앙대로 1324,051-678-6125,2022-11-30
0402,동래,L2604,부산 경량도시철도 4호선,Dongnae,東萊,환승역,S2601+L2604,부산 도시철도 1호선+부산 경량도시철도 4호선,35.20466,129.07741,부산광역시 부산교통공사,부산광역시 동래구 온천2동 1486번지,051-678-6402,2022-11-30
8005,동래역,I26K6,동해선,Dongnae,東 萊,일반역,,,35.204714,129.0773502,한국철도공사,부산광역시 동래구 낙민동 130-4,1588-7788,2025-04-08
3132,동막,S2801,인천지하철 1호선,Dongmak,東幕,일반역,-,-,37.398173,126.673561,인천교통공사,인천광역시 연수구 경원대로 80,032-816-5584,2022-04-30
0100,동매,S2601,부산 도시철도 1호선,Dongmae,東山,일반역,,,35.089819,128.974029,부산광역시 부산교통공사,부산광역시 사하구 신산로 지하168,051-678-6100,2022-11-30
0127,동묘앞,I4101,1호선,Dongmyo,東廟앞,환승역,S1106,수도권  도시철도 6호선,37.573265,127.016459,서울교통공사,서울특별시 종로구 종로 359(숭인동),02-6110-1271,2024-12-31
0636,동묘앞,S1106,6호선,Dongmyo,東廟앞,환승역,I4101,수도권  광역철도 1호선,37.572275,127.015666,서울교통공사,서울특별시 종로구 지봉로 지하24(숭인동),02-6311-6361,2024-12-31
0204,동백,S2602,부산 도시철도 2호선,Dongbaek,冬柏,일반역,,,35.16147,129.147887,부산광역시 부산교통공사,부산광역시 해운대구 해운대로 지하 522,051-678-6204,2022-11-30
Y114,동백(용인세브란스),L41E1,에버라인,Dongbaek,東栢,일반역,L41E1,수도권  경량도시철도 에버라인,37.26910138,127.1526906,경기도 용인경전철,경기도 용인시 기흥구 동백죽전대로 314,031-329-3545,2025-03-25
3121,동수,S2801,인천지하철 1호선,Dongsu,東樹,일반역,-,-,37.485409,126.718464,인천교통공사,인천광역시 부평구 경인로 877,032-516-3121,2022-04-30
1808,동암역,I1101,경인선,Dongam,銅 岩,일반역,,,37.470835,126.703016,한국철도공사,인천시 부평구 동암광장로 10,1588-7788,2025-04-08
U118,동오,L41U1,의정부,Dong-o,东梧,일반역,,,37.74519123,127.05703,의정부경량전철㈜,경기도 의정부시 장곡로 471,031-820-1000,2023-09-04
0237,동원,S2602,부산 도시철도 2호선,Dongwon,東院,일반역,,,35.25864,129.01242,부산광역시 부산교통공사,부산광역시 북구 금곡대로 575,051-678-6237,2022-11-30
0222,동의대,S2602,부산 도시철도 2호선,Dong-eui Univ.,東義大,일반역,,,35.15411,129.0325,부산광역시 부산교통공사,부산광역시 부산진구 가야대로 지하 554,051-678-6222,2022-11-30
1811,동인천역,I1101,경인선,Dongincheon,東仁川,일반역,,,37.475414,126.632598,한국철도공사,인천시 중구 참외전로 119,1588-7788,2025-04-08
0431,동작(현충원),I1104,4호선,Dongjak (Seoul National Cemetery),銅雀(顯忠院),환승역,S11S1,수도권  도시철도 9호선,37.503567,126.980171,서울교통공사,서울특별시 동작구 현충로 257(동작동),02-6110-4311,2024-12-31
4120,동작(현충원),S1109,서울 도시철도 9호선,Dongjak(Seoul National Cemetery),銅雀(顯忠院),환승역,I1104,서울 도시철도 4호선,37.502878,126.978278,서울특별시 서울시메트로9호선㈜,서울특별시 동작구 현충로 지하220 (동작동),02-2656-0920,2024-05-31
0315,동천,S2703,대구 도시철도 3호선,Dongcheon,東川,일반역,,,35.93770658,128.556683,대구교통공사, 북구 팔거천동로 147(동천동),053-640-7381,2025-03-31
D014,동천,I11D1,신분당선,Dongcheon,東川,일반역,,,37.338068413,127.1028937,경기도 신분당선,경기도 용인시 수지구 신수로 지하760,031)8018-7780,2025-09-30
0138,동촌(동촌유원지),S2701,대구 도시철도 1호선,"Dongchon
(Dongchon Resort)",東村(東村遊園地),일반역,,,35.886039,128.650455,대구교통공사,동구 해동로 지하197 (검사동),053-981-7731,2025-03-31
3131,동춘,S2801,인천지하철 1호선,Dongchun,東春,일반역,-,-,37.404676,126.680835,인천교통공사,인천광역시 연수구 경원대로 180,032-814-5702,2022-04-30
0226,두류,S2702,대구 도시철도 2호선,Duryu,頭流,일반역,,,35.8572405,128.555509,대구교통공사,달서구 달구벌대로 지하1760 (두류동),053-628-3663,2025-03-31
0131,두실,S2601,부산 도시철도 1호선,Dusil,斗實,일반역,,,35.25694,129.09139,부산광역시 부산교통공사,부산광역시 금정구 중앙대로 1927-1,051-678-6131,2022-11-30
1727,두정역,I4101,경부선,Dujeong,斗 井,일반역,,,36.833791,127.148905,한국철도공사,충남 천안시 서북구 두정로 289(두정동 84-1),1588-7788,2025-04-08
Y123,둔전,L41E1,에버라인,Dunjeon,屯田,일반역,L41E1,수도권  경량도시철도 에버라인,37.26721222,127.2136387,경기도 용인경전철,경기도 용인시 처인구 포곡읍 포곡로 70,031-329-3579,2025-03-25
P549,둔촌동,S1105,5호선,Dunchondong,遁村洞,일반역,,,37.527787,127.136219,서울교통공사,서울특별시 강동구 양재대로 지하1369(둔촌동),02-6311-5541,2024-12-31
4137,둔촌오륜,S1109,수도권  도시철도 9호선,Dunchon Oryun,遁村五轮,일반역,,,37.519339,127.138619,서울시메트로9호선㈜,서울특별시 강동구 강동대로 지하 327,02-2656-0937,
0006,등구,L48B1,부산김해경전철,Deunggu,登龜,일반역,,,35.196143,128.963599,부산-김해경전철㈜,부산광역시 강서구 경전철로 194,055-310-9606,2022-04-27
4109,등촌,S1109,서울 도시철도 9호선,Deungchon,登村,일반역,,,37.551111,126.864722,서울특별시 서울시메트로9호선㈜,서울특별시 강서구 공항대로 지하529,02-2656-0909,2024-02-29
0618,디지털미디어시티,S1106,6호선,Digital Media City,-,환승역,I41K4+I28A1,수도권  광역철도 경의중앙+수도권 광역철도 공항,37.5760805,126.901343,서울교통공사,서울특별시 은평구 수색로 지하175(증산동),02-6311-6181,2024-12-31
A04,디지털미디어시티,I28A1,인천국제공항선,Digital Media City,-,환승역,S1106+I41K4,서울 도시철도 6호선+경의중앙선,37.577355,126.898025,공항철도주식회사,서울특별시 마포구 성암로 184,1599-7788,2023-05-31
1266,디지털미디어시티역,I4108,경의중앙선,Digital Media City,디지털미디어시티,환승역,"S1106, I28A1","6호선, 인천국제공항선",37.577964,126.900421,한국철도공사,서울시 은평구 수색로 193(수색동 37-2),1588-7788,2025-04-08
0210,뚝섬,S1102,2호선,Ttukseom,-,일반역,,,37.54718,127.047413,서울교통공사,서울특별시 성동구 아차산로 18(성수동1가),02-6110-2101,2024-12-31
0514,마곡,S1105,5호선,Magok,麻谷,일반역,,,37.55865,126.837693,서울교통공사,서울특별시 강서구 공항대로 지하163(마곡동),02-6311-5141,2024-12-31
4105,마곡나루(서울식물원),S1109,서울 도시철도 9호선,Magongnaru(Seoul Botanic Park),麻谷나루,환승역,I28A1,인천국제공항선,37.566717,126.8276071,서울특별시 서울시메트로9호선㈜,서울특별시 강서구 마곡중앙5로 지하2,02-2656-0905,2025-03-31
A042,마곡나루,I28A1,인천국제공항선,Magongnaru,麻谷나루,환승역,S1109,서울 도시철도 9호선,37.56581914,126.8276358,공항철도주식회사,서울특별시 강서구 마곡중앙로 지하 135,1599-7788,2023-05-31
1955,마두역,I4106,일산선,Madu,馬 頭,일반역,,,37.652185,126.777641,한국철도공사,경기도 고양시 일산동구 중앙로 지하 1180(마두동),1588-7788,2025-04-08
0712,마들,S1107,7호선,Madeul,-,일반역,,,37.664985,127.057701,서울교통공사,서울특별시 노원구 동일로 지하1530-1(상계동),02-6311-7121,2024-12-31
G102,마산역,L41G1,김포도시철도,Masan ,麻山,일반역,,,37.640606,126.643944,김포골드라인에스알에스㈜,경기도 김포시 김포한강3로 지하 442,031-8048-1720,2024.12.18
1319,마석역,I41K2,경춘선,Maseok,磨 石,일반역,,,37.652328,127.311713,한국철도공사,경기도 남양주시 화도읍 마석우리 241-4,1588-7788,2025-04-08
0541,마장,S1105,5호선,Majang,馬場,일반역,,,37.566066,127.042921,서울교통공사,서울특별시 성동구 마장로 지하296(마장동),02-6311-5411,2024-12-31
3204,마전,S2802,인천지하철 2호선,Majeon,麻田,일반역,-,-,37.597756,126.667195,인천교통공사,인천광역시 서구 완정로 68 (마전동),032-451-4304,2022-04-30
P555,마천,S1105,5호선,Macheon,馬川,일반역,,,37.494972,127.152784,서울교통공사,서울특별시 송파구 마천로57길 지하7(마천동),02-6311-5601,2024-12-31
0528,마포,S1105,5호선,Mapo,麻浦,일반역,,,37.539718,126.946043,서울교통공사,서울특별시 마포구 마포대로 지하33(도화동),02-6311-5281,2024-12-31
0620,마포구청,S1106,6호선,Mapo-gu Office,麻浦區廳,일반역,,,37.563529,126.903356,서울교통공사,서울특별시 마포구 월드컵로 지하190(성산동),02-6311-6201,2024-12-31
0310,만덕,S2603,부산 도시철도 3호선,Mandeok,萬德,일반역,,,35.213,129.0365,부산광역시 부산교통공사,부산광역시 북구 만덕대로 지하 291,051-678-6310,2022-11-30
3224,만수,S2802,인천지하철 2호선,Mansu,万壽,일반역,-,-,37.454962,126.731764,인천교통공사,인천광역시 남동구 구월로 지하 367 (만수동),032-451-4324,2022-04-30
0235,만촌,S2702,대구 도시철도 2호선,Manchon,晩村,일반역,,,35.858841,128.644951,대구교통공사,수성구 달구벌대로 지하2584 (만촌동),053-751-0287,2025-03-31
0323,만평,S2703,대구 도시철도 3호선,Manpyeong,萬坪,일반역,,,35.889893,128.561002,대구교통공사, 북구 팔달로 105(노원동3가),053-640-7431,2025-03-31
0302,망미,S2603,부산 도시철도 3호선,Mangmi,望美,일반역,,,35.17153,129.10822,부산광역시 부산교통공사,부산광역시 수영구 연수로 지하 337,051-678-6302,2022-11-30
8020,망양역,I26K6,동해선,Mangyang,望陽,일반역,,,35.456519,129.287856,한국철도공사,울산시 울주군 온양읍 망양리 484-1,1588-7788,2025-04-08
1203,망우역,I41K2,경춘선,Mangu,忘 憂,환승역,I41K4,경의중앙선,37.599988,127.092031,한국철도공사,서울시 중랑구 망우로 55길 11-10,1588-7788,2025-04-08
1203,망우역,I4108,경의중앙선,Mangu,忘 憂,환승역,I41K2,경춘선,37.599288,127.092318,한국철도공사,서울시 중랑구 망우로 55길 11-10,1588-7788,2025-04-08
0621,망원,S1106,6호선,Mangwon,望遠,일반역,,,37.556031,126.910129,서울교통공사,서울특별시 마포구 월드컵로 지하77(망원동),02-6311-6211,2024-12-31
1904,망월사역,I4102,경원선,Mangwolsa,望月寺,일반역,,,37.710499,127.047361,한국철도공사,경기도 의정부시 평화로 221,1588-7788,2025-04-08
1869,망포역,I4105,분당선,Mangpo,網 浦,일반역,,,37.245793,127.057367,한국철도공사,경기도 수원시 영통구 봉영로 지하 1520,1588-7788,2025-04-08
1872,매교역,I4105,분당선,Maegyo,梅橋,일반역,,,37.265502,127.015657,한국철도공사,경기도 수원시 팔달구 효원로 126,1588-7788,2025-04-08
0343,매봉,I1103,3호선,Maebong,-,일반역,,,37.487114,127.046907,서울교통공사,서울특별시 강남구 남부순환로 지하2744(도곡동),02-6110-3431,2024-12-31
0319,매천,S2703,대구 도시철도 3호선,Maecheon,梅川,일반역,,,35.91265,128.5434,대구교통공사, 북구 학정로 6(매천동),053-640-7431,2025-03-31
0320,매천시장,S2703,대구 도시철도 3호선,Maecheon Market,梅川市場,일반역,,,35.90443,128.545755,대구교통공사, 북구 매천로 18길 39(매천동),053-640-7431,2025-03-31
1870,매탄권선역,I4105,분당선,Maetan Gwonseon,梅灘勸善,일반역,,,37.252458,127.040824,한국철도공사,경기도 수원시 영통구 권선로 841,1588-7788,2025-04-08
0718,먹골,S1107,7호선,Meokgol,-,일반역,,,37.610638,127.077719,서울교통공사,서울특별시 중랑구 동일로 지하901(묵동),02-6311-7181,2024-12-31
0721,면목,S1107,7호선,Myeonmok,面牧,일반역,,,37.588671,127.087503,서울교통공사,서울특별시 중랑구 면목로 지하407(면목동) ,02-6311-7211,2024-12-31
0129,명덕(2.28민주운동기념회관),S2701,대구 도시철도 1호선,"Myeongdeok
(The 2‧28 Movement for Democracy museum)",明德(2‧28民主運動紀念會館),환승역,S0129+S0331,대구도시철도1호선+대구도시철도3호선,35.857382,128.59088,대구교통공사,중구 명덕로 지하185 (남산동),053-255-7723,2025-03-31
0331,명덕(2·28민주운동기념회관),S2703,대구 도시철도 3호선,"Myeongdeok
(2·28Democracy Movement Hall)","明德
(2·28民主運動紀念會館)",환승역,S0331+S0129,대구도시철도3호선+대구도시철도1호선,35.85694518,128.5900469,대구교통공사, 남구 명덕로 186(대명동),053-640-7581,2025-03-31
0424,명동,I1104,4호선,Myeongdong,明洞,일반역,,,37.560955,126.986271,서울교통공사,서울특별시 중구 퇴계로 지하126(충무로2가),02-6110-4241,2024-12-31
0126,명륜,S2601,부산 도시철도 1호선,Myeongnyun,明倫,일반역,,,35.21222,129.07944,부산광역시 부산교통공사,부산광역시 동래구 중앙대로 1414,051-678-6126,2022-11-30
0551,명일,S1105,5호선,Myeongil,明逸,일반역,,,37.551317,127.144002,서울교통공사,서울특별시 강동구 양재대로 지하1632(명일동),02-6311-5511,2024-12-31
0406,명장,L2604,부산 경량도시철도 4호선,Myeongjang,鳴藏,일반역,,,35.20503,129.10161,부산광역시 부산교통공사,부산광역시 동래구 반송로 지하 281,051-678-6406,2022-11-30
Y118,명지대,L41E1,에버라인,Myongji Univ.,明知大,일반역,L41E1,수도권  경량도시철도 에버라인,37.23807629,127.1902913,경기도 용인경전철,경기도 용인시 처인구 금학로 241,031-329-3574,2025-03-25
1707,명학역,I4101,경부선,Myeonghak,鳴 鶴,일반역,,,37.384435,126.935579,한국철도공사,경기도 안양시 만안구 만안로 20,1588-7788,2025-04-08
0229,모덕,S2602,부산 도시철도 2호선,Modeok,毛德,일반역,,,35.18036,128.98561,부산광역시 부산교통공사,부산광역시 사상구 사상로 지하 409,051-678-6229,2022-11-30
0230,모라,S2602,부산 도시철도 2호선,Mora,毛羅,일반역,,,35.18967,128.98864,부산광역시 부산교통공사,부산광역시 사상구 사상로 지하 498,051-678-6230,2022-11-30
0827,모란,S1108,8호선,Moran,牡丹,환승역,I41K1,수도권  광역철도 분당,37.433988,127.129921,서울교통공사,경기도 성남시 수정구 산성대로 지하100(수진동),02-6311-8271,2024-12-31
1853,모란역,I4105,분당선,Moran,牡 丹,환승역,S1108,수도권 도시철도 8호선,37.432124,127.129064,한국철도공사,경기도 성남시 중원구 성남대로 지하 1147(성남동 1575),1588-7788,2025-04-08
3223,모래내시장,S2802,인천지하철 2호선,Moraenae Market,沙丘市場,일반역,-,-,37.455842,126.719578,인천교통공사,인천광역시 남동구 구월로 지하 255 (구월동),032-451-4323,2022-04-30
0520,목동,S1105,5호선,Mokdong,木洞,일반역,,,37.526088,126.864296,서울교통공사,서울특별시 양천구 오목로 지하245(목동),02-6311-5201,2024-12-31
0214,못골,S2602,부산 도시철도 2호선,Motgol,池谷,일반역,,,35.13472,129.08442,부산광역시 부산교통공사,부산광역시 남구 수영로 지하 170,051-678-6214,2022-11-30
0813,몽촌토성(평화의문),S1108,8호선,Mongchontoseong (World Peace Gate),夢村土城(平和의門),일반역,,,37.517692,127.11274,서울교통공사,서울특별시 송파구 올림픽로 지하383(신천동),02-6311-8131,2024-12-31
0325,무악재,I1103,3호선,Muakjae,毋岳재,일반역,,,37.582658,126.950131,서울교통공사,서울특별시 서대문구 통일로 지하361(홍제동),02-6110-3251,2024-12-31
0235,문래,S1102,2호선,Mullae,文來,일반역,,,37.517993,126.894766,서울교통공사,서울특별시 영등포구 당산로 지하28(문래동3가),02-6110-2351,2024-12-31
1284,문산역,I4108,경의중앙선,Munsan,文山,일반역,,,37.854565,126.787531,한국철도공사,경기도 파주시 문산읍 문산역로 94,1588-7788,2025-04-08
0216,문양,S2702,대구 도시철도 2호선,Munyang,汶陽,일반역,,,35.86414313,128.4370043,대구교통공사,달성군 다사읍 문양역길 71,053-584-6826,2025-03-31
0818,문정,S1108,8호선,Munjeong,文井,일반역,,,37.485931,127.122473,서울교통공사,서울특별시 송파구 송파대로 지하179(문정동),02-6311-8181,2024-12-31
3127,문학경기장,S2801,인천지하철 1호선,Munhak Sports Complex,文鶴競技場,일반역,-,-,37.434964,126.698373,인천교통공사,인천광역시 연수구 예술로 2,032-441-3127,2022-04-30
0216,문현,S2602,부산 도시철도 2호선,Munhyeon,門峴,일반역,,,35.13911,129.06736,부산광역시 부산교통공사,부산광역시 남구 전포대로 지하 17,051-678-6216,2022-11-30
104,문화전당(구도청),S2901,광주도시철도 1호선,Culture Center (Former Provincial office),文化殿堂（原道厅）,일반역,,,35.14661,126.92005,광주교통공사,광주광역시 동구 문화전당로 26번길 지하 7(광산동),062-604-8440,2022-09-02
0304,물만골,S2603,부산 도시철도 3호선,Mulmangol,水滿谷,일반역,,,35.17681,129.08575,부산광역시 부산교통공사,부산광역시 연제구 월드컵대로 지하 23,051-678-6304,2022-11-30
D013,미금,I11D1,신분당선,Migeum,美金,환승역,I11D1,수도권 광역철도 신분당선,37.35058332,127.1088028,경기도 신분당선,경기도 성남시 성남대로 지하 163 (금곡동),031)8018-7770,2025-09-30
1858,미금역,I4105,분당선,Migeum,美 金,환승역,I11D1,신분당선,37.350078,127.108952,한국철도공사,경기도 성남시 수정구 성남대로 지하 156,1588-7788,2025-04-08
0309,미남,S2603,부산 도시철도 3호선,Minam,美南,환승역,S2603+L2604,부산 도시철도 3호선+부산 경량도시철도 4호선,35.2055,129.06806,부산광역시 부산교통공사,부산광역시 동래구 아시아드대로 지하 232,051-678-6309,2022-11-30
0401,미남,L2604,부산 경량도시철도 4호선,Minam,美南,환승역,S2603+L2604,부산 도시철도 3호선+부산 경량도시철도 4호선,35.20643,129.06868,부산광역시 부산교통공사,부산광역시 동래구 충렬대로 지하 147,051-678-6401,2022-11-30
0555,미사,S1105,5호선,Misa,渼沙,일반역,,,37.56309,127.192954,서울교통공사,경기도 하남시 미사강변동로 지하90(망월동),02-6311-5621,2024-12-31
0415,미아(서울사이버대학),I1104,4호선,Mia (Seoul Cyber Univ.),彌阿(서울사이버大學),일반역,,,37.626435,127.026151,서울교통공사,서울특별시 강북구 도봉로 지하198(미아동),02-6110-4151,2024-12-31
0416,미아사거리,I1104,4호선,Miasageori ,彌阿사거리,일반역,,,37.613276,127.030083,서울교통공사,서울특별시 강북구 도봉로 지하50(미아동),02-6110-4161,2024-12-31
0207,민락,S2602,부산 도시철도 2호선,Millak,民樂,일반역,,,35.16722,129.121878,부산광역시 부산교통공사,부산광역시 수영구 수영로 지하 769,051-678-6207,2022-11-30
0018,박물관,L48B1,부산김해경전철,museum,博物館,일반역,,,35.24006467,128.8718628,부산-김해경전철㈜,경상남도 김해시 김해대로 2103,055-310-9618,2022-04-27
3112,박촌,S2801,인천지하철 1호선,Bakchon,朴村,일반역,-,-,37.553525,126.744946,인천교통공사,인천광역시 계양구 장제로 992,032-519-3122,2022-04-30
0228,반고개,S2702,대구 도시철도 2호선,Bangogae,한자가없음,일반역,,,35.8623,128.572817,대구교통공사,서구 달구벌대로 지하1827 (내당동),053-655-1196,2025-03-31
